Stock,Date,Price
FPT,20171229,57.1
FPT,20171228,57.2
FPT,20171227,56.7
FPT,20171226,57.1
FPT,20171225,57.6
FPT,20171222,57.1
FPT,20171221,56.4
FPT,20171220,56.3
FPT,20171219,55.2
FPT,20171218,56.3
FPT,20171215,56.5
FPT,20171214,55.9
FPT,20171213,54.7
FPT,20171212,53.7
FPT,20171211,53.5
FPT,20171208,55.5
FPT,20171207,56.1
FPT,20171206,56.8
FPT,20171205,57.3
FPT,20171204,58.8
FPT,20171201,58.4
FPT,20171130,58.4
FPT,20171129,59.3
FPT,20171128,57.5
FPT,20171127,58.2
FPT,20171124,57.9
FPT,20171123,57.6
FPT,20171122,58
FPT,20171121,57.2
FPT,20171120,57.9
FPT,20171117,56.7
FPT,20171116,57
FPT,20171115,56.9
FPT,20171114,53.9
FPT,20171113,54
FPT,20171110,52.2
FPT,20171109,52.6
FPT,20171108,53
FPT,20171107,51.2
FPT,20171106,51.4
FPT,20171103,51
FPT,20171102,50.5
FPT,20171101,50.8
FPT,20171031,50.4
FPT,20171030,50
FPT,20171027,50.2
FPT,20171026,49.6
FPT,20171025,49.7
FPT,20171024,49.3
FPT,20171023,49.3
FPT,20171020,50.3
FPT,20171019,50.6
FPT,20171018,50.5
FPT,20171017,51.5
FPT,20171016,51.4
FPT,20171013,51.2
FPT,20171012,51
FPT,20171011,49.9
FPT,20171010,49.3
FPT,20171009,48.8
FPT,20171006,48.75
FPT,20171005,48.3
FPT,20171004,48.05
FPT,20171003,47.85
FPT,20171002,48.2
FPT,20170929,48.75
FPT,20170928,48.95
FPT,20170927,49
FPT,20170926,49
FPT,20170925,48.85
FPT,20170922,49.45
FPT,20170921,49.4
FPT,20170920,48.65
FPT,20170919,48.4
FPT,20170918,48.35
FPT,20170915,48.2
FPT,20170914,48.35
FPT,20170913,48.75
FPT,20170912,48.1
FPT,20170911,47.35
FPT,20170908,47.7
FPT,20170907,47.9
FPT,20170906,48.2
FPT,20170905,48.5
FPT,20170901,48.6
FPT,20170831,48.5
FPT,20170830,47.8
FPT,20170829,47.75
FPT,20170828,47.6
FPT,20170825,47.5
FPT,20170824,47.7
FPT,20170823,47.2
FPT,20170822,47.1
FPT,20170821,47.75
FPT,20170818,47.5
FPT,20170817,47.4
FPT,20170816,47.6
FPT,20170815,47.89
FPT,20170814,48.19
FPT,20170811,48.43
FPT,20170810,47.89
FPT,20170809,47.4
FPT,20170808,47.94
FPT,20170807,48.82
FPT,20170804,49.07
FPT,20170803,49.07
FPT,20170802,48.38
FPT,20170801,47.99
FPT,20170731,47.36
FPT,20170728,47.55
FPT,20170727,47.21
FPT,20170726,46.82
FPT,20170725,45.74
FPT,20170724,45.54
FPT,20170721,45.25
FPT,20170720,45.84
FPT,20170719,45.94
FPT,20170718,46.82
FPT,20170717,47.01
FPT,20170714,47.7
FPT,20170713,47.85
FPT,20170712,46.96
FPT,20170711,46.62
FPT,20170710,47.21
FPT,20170707,47.6
FPT,20170706,46.91
FPT,20170705,45.74
FPT,20170704,45.64
FPT,20170703,45.45
FPT,20170630,45.89
FPT,20170629,45.54
FPT,20170628,45.4
FPT,20170627,44.76
FPT,20170626,45.74
FPT,20170623,46.47
FPT,20170622,46.62
FPT,20170621,46.52
FPT,20170620,45.2
FPT,20170619,45.35
FPT,20170616,44.76
FPT,20170615,44.47
FPT,20170614,44.27
FPT,20170613,44.42
FPT,20170612,43.78
FPT,20170609,44.22
FPT,20170608,43.29
FPT,20170607,43.14
FPT,20170606,43.39
FPT,20170605,42.36
FPT,20170602,42.36
FPT,20170601,42.56
FPT,20170531,42.12
FPT,20170530,42.12
FPT,20170529,41.72
FPT,20170526,41.23
FPT,20170525,41.72
FPT,20170524,40.97
FPT,20170523,40.76
FPT,20170522,40.47
FPT,20170519,40.38
FPT,20170518,39.96
FPT,20170517,39.88
FPT,20170516,39.63
FPT,20170515,39.88
FPT,20170512,40.05
FPT,20170511,40.13
FPT,20170510,40.13
FPT,20170509,40.3
FPT,20170508,39.21
FPT,20170505,39.3
FPT,20170504,39.21
FPT,20170503,39.21
FPT,20170428,38.76
FPT,20170427,38.8
FPT,20170426,38.38
FPT,20170425,38.09
FPT,20170424,38.17
FPT,20170421,38.25
FPT,20170420,38.25
FPT,20170419,38.38
FPT,20170418,38.38
FPT,20170417,38.13
FPT,20170414,38.42
FPT,20170413,39.42
FPT,20170412,39.67
FPT,20170411,39.17
FPT,20170410,39.21
FPT,20170407,39.21
FPT,20170405,38.84
FPT,20170404,39.21
FPT,20170403,38.71
FPT,20170331,39.46
FPT,20170330,39.3
FPT,20170329,39.63
FPT,20170328,39.55
FPT,20170327,39.71
FPT,20170324,39.8
FPT,20170323,40.05
FPT,20170322,38.46
FPT,20170321,38.88
FPT,20170320,38.88
FPT,20170317,38.3
FPT,20170316,38.13
FPT,20170315,38
FPT,20170314,38.13
FPT,20170313,38.17
FPT,20170310,38.38
FPT,20170309,37.96
FPT,20170308,38.21
FPT,20170307,38.21
FPT,20170306,38.34
FPT,20170303,38.09
FPT,20170302,37.92
FPT,20170301,38.13
FPT,20170228,38.25
FPT,20170227,38.84
FPT,20170224,38.38
FPT,20170223,38.38
FPT,20170222,38.21
FPT,20170221,37.88
FPT,20170220,37.59
FPT,20170217,37.8
FPT,20170216,37.8
FPT,20170215,38.38
FPT,20170214,38.71
FPT,20170213,37.38
FPT,20170210,37.09
FPT,20170209,37.17
FPT,20170208,37.21
FPT,20170207,37.13
FPT,20170206,36.96
FPT,20170203,37.3
FPT,20170202,37.46
FPT,20170125,37.63
FPT,20170124,37.3
FPT,20170123,37.09
FPT,20170120,36.88
FPT,20170119,36.54
FPT,20170118,36.54
FPT,20170117,37.04
FPT,20170116,36.71
FPT,20170113,37.46
FPT,20170112,38.34
FPT,20170111,38.46
FPT,20170110,38.38
FPT,20170109,37.71
FPT,20170106,37.5
FPT,20170105,37.63
FPT,20170104,37.75
FPT,20170103,37.42
